Latitude,Longitude,Sentiment,Number of Tweets
25,-107,2.405760136,28
25,-106,2.250009291,29
25,-105,-1.317480564,1
25,-104,3.704504848,3
25,-103,3.489610106,4
25,-101,0.763722658,2
25,-100,-0.925461769,2
25,-99,-3.028479338,3
25,-82,-3.028479338,3
25,-81,1.653635569,40
25,-80,3.455381565,15
25,-77,4.173474625,9
26,-109,2.288868351,40
26,-108,1.675486088,1
26,-106,1.019744555,3
26,-105,-0.315854728,1
26,-104,-0.315854728,1
26,-103,0.501928206,15
26,-102,-1.303811124,7
26,-101,1.136319518,3
26,-100,3.894968147,24
26,-99,3.894968147,24
26,-98,1.054523826,1
26,-97,2.204411194,40
26,-82,2.096575899,40
26,-81,0.422387967,26
26,-80,1.068853796,40
26,-77,1.753210543,40
27,-106,0.264692187,1
27,-105,2.944760561,1
27,-102,2.944760561,1
27,-101,-0.699669421,1
27,-100,-1.339245713,5
27,-98,-0.137278271,5
27,-97,1.419396168,36
27,-83,-2.836165826,3
27,-82,0.99290628,40
27,-81,0.577605129,40
27,-80,1.427980097,37
27,-79,0.829787108,40
27,-78,1.855454411,11
27,-77,-0.531103015,1
28,-111,-0.490941614,1
28,-110,1.180644547,36
28,-100,1.180644547,36
28,-97,1.140547449,40
28,-93,1.087579197,40
28,-92,-1.197973609,1
28,-84,-1.197973609,1
28,-83,1.05441439,40
28,-82,0.129037257,40
28,-81,0.90672045,39
28,-80,2.22498158,40
29,-111,1.859379392,40
29,-110,5.656339407,5
29,-106,5.656339407,5
29,-101,2.657084667,7
29,-100,2.161331197,18
29,-99,1.913407822,19
29,-98,1.656887629,40
29,-97,1.697464723,40
29,-96,1.248799158,35
29,-95,1.40530257,40
29,-90,2.931667935,40
29,-89,-0.092468202,6
29,-83,1.514492313,3
29,-82,3.637364519,40
29,-81,2.445467144,40
29,-80,2.227393058,40
30,-116,2.427526712,9
30,-115,0.054316029,6
30,-107,0.054316029,6
30,-104,-4.751367807,2
30,-100,0.6555802,26
30,-99,2.523589475,40
30,-98,2.275842789,40
30,-97,-0.73493495,40
30,-96,-0.73493495,40
30,-95,0.846544683,40
30,-94,0.846544683,40
30,-93,2.494858338,40
30,-92,2.577632749,40
30,-91,1.25530033,40
30,-90,1.504193168,40
30,-89,1.598714203,37
30,-88,1.965347772,40
30,-87,-0.050289717,5
30,-86,2.990082403,39
30,-85,1.614702315,40
30,-84,2.303063751,40
30,-83,2.082503419,40
30,-82,0.337120882,40
30,-81,1.307925791,40
31,-113,1.658739386,40
31,-112,0.099293455,1
31,-111,0.099293455,1
31,-110,0.147258293,4
31,-109,1.915379673,8
31,-106,0.723995209,2
31,-105,4.873761581,10
31,-104,4.873761581,10
31,-103,0.231828287,1
31,-100,0.231828287,1
31,-99,3.493713778,40
31,-98,-1.801547635,4
31,-97,1.56294846,40
31,-96,1.607648868,40
31,-95,4.3011351,40
31,-94,3.646551847,40
31,-93,3.725839029,9
31,-92,2.800180966,40
31,-91,3.167430821,40
31,-90,2.889245016,40
31,-89,-0.300606159,38
31,-88,2.739975195,40
31,-87,4.013125261,40
31,-86,0.544868655,40
31,-85,0.999756294,40
31,-84,1.064823563,40
31,-83,2.78154051,40
31,-82,1.082293022,40
31,-81,1.460019231,35
32,-117,2.121732287,33
32,-115,0.688755433,3
32,-113,2.104883417,7
32,-112,1.760309675,13
32,-111,1.760309675,13
32,-110,1.506929275,40
32,-108,0.279772202,18
32,-107,-1.1205341,18
32,-106,6.1159163,40
32,-105,6.1159163,40
32,-104,0.498659307,10
32,-103,-0.817863226,3
32,-102,1.213402643,40
32,-101,1.279284993,40
32,-100,11.15497722,2
32,-99,1.661788801,40
32,-98,0.774803655,7
32,-97,5.545590884,27
32,-96,1.710532085,40
32,-95,1.539276644,40
32,-94,1.170255585,40
32,-93,5.442837586,12
32,-92,-0.209141228,9
32,-91,-0.926800862,8
32,-90,1.975750405,39
32,-89,5.199225817,40
32,-88,5.000982468,40
32,-87,9.039293249,21
32,-86,3.773578326,12
32,-85,-0.132524621,32
32,-84,4.991314691,26
32,-83,1.826059501,40
32,-82,2.960913906,40
32,-81,3.209618432,40
32,-80,0.594527527,40
33,-119,0.759633007,40
33,-118,0.391030299,26
33,-117,4.621492514,40
33,-116,3.078891487,40
33,-115,1.126783225,40
33,-114,0.485969469,40
33,-113,0.480206104,33
33,-112,0.251112506,25
33,-111,1.048601346,37
33,-110,1.314892684,40
33,-109,-1.047789776,5
33,-108,-0.455678957,24
33,-107,-0.361764386,36
33,-106,-0.135323161,11
33,-105,1.667771761,7
33,-104,2.585609953,3
33,-103,2.585609953,3
33,-102,5.676543648,4
33,-101,1.884540876,3
33,-100,0.654052051,17
33,-99,-0.174961776,1
33,-98,3.706902924,6
33,-97,1.368893674,40
33,-96,4.243767058,40
33,-95,3.44789707,40
33,-94,4.606284665,10
33,-93,1.533966527,40
33,-92,1.387346659,22
33,-91,2.487531007,40
33,-90,-0.060183048,11
33,-89,3.259761577,40
33,-88,2.205551218,29
33,-87,3.991994722,40
33,-86,4.002068935,40
33,-85,3.362163527,40
33,-84,2.606864512,40
33,-83,3.500244996,40
33,-82,2.115192486,27
33,-81,0.309983239,40
33,-80,1.976133842,40
33,-79,1.536478551,40
34,-120,0.736624249,7
34,-119,0.713682205,40
